51 2171282080
objPtr = 816B22A0 nObjs = 51
Obj|Address |Name       |ID  |Def |Flg|Slt|Sequence|XPos     |YPos     |ZPos      
  0|81301FE0|setuppoint |0004|000D|00 |50 |811670AC|    +3.60|    +7.00|   +28.92
  1|81301D80|TrigPnt    |0014|004B|00 |28 |810BDBBC|+11862.88|  -183.00| +4625.09
  2|812F4F80|WM_seqpoint|0030|025F|00 |50 |810BEC74|+12364.84|  +241.00|   +41.35
  3|813007E0|DepthOfFiel|0030|065A|00 |50 |810BD14C|+12264.56|  +211.00|  +451.46
  4|81300600|WM_LevelCon|0039|017E|00 |50 |810BD110|+12251.81|  +280.18|  +215.22
  5|813003A0|TrigPln    |0015|004C|00 |28 |810BD070|+11151.38|   -89.28| +1406.27
  6|812FFEC0|WM_seqpoint|0030|025F|00 |50 |810BCD38|+11076.31|   -99.00|  +728.00
  7|812FFDA0|WM_seqpoint|0030|025F|00 |50 |810BCD14|+12059.29|  +230.55|  +193.38
  8|812FDE40|TrigPnt    |0014|004B|00 |28 |810BF098|+11714.68|   +66.00|  +509.70
  9|812F8640|TrigPln    |0015|004C|00 |28 |810BEE04|+12114.95|  -185.41|   +97.82
 10|81179EE0|HagabonMK2 |001C|07C8|00 |50 |810BED94|+12188.51|  +297.16|  +176.54
 11|8117DAA0|HagabonMK2 |001C|07C8|00 |50 |810BEDCC|+12578.56|  +296.66|  +341.99
 12|8113C7C0|WM_Explosiv|0061|0761|00 |50 |810BED74|+12669.64|  +211.00|  +544.40
 13|812F89A0|TAreaFXEmit|0067|035E|00 |50 |810BEE54|+12379.18|  +211.50|  +306.50
 14|812F8D20|CmbSrcTWall|007E|0853|00 |50 |810BEE7C|+12554.61|  +274.76|  +402.10
 15|812F93C0|CmbSrcTWall|007E|0853|00 |50 |810BEEAC|+12376.12|  +275.06|  +403.64
 16|812F9A60|CmbSrcTWall|007E|0853|00 |50 |810BEEDC|+12199.19|  +275.77|  +403.42
 17|812FA100|LargeCrate |0030|049F|00 |50 |810BEF0C|+11588.01|   +66.00|  +119.87
 18|812FA4C0|LargeCrate |0030|049F|00 |50 |810BEF30|+11440.62|   +66.00|  +102.03
 19|812FA940|SmallBasket|0030|03CF|00 |50 |810BEF54|+11364.11|   +66.00|  +918.78
 20|80F99580|WM_deaddino|0030|013D|00 |50 |810BEF78|+11780.38|   +65.97|  +216.24
 21|80F8BFC0|WM_deaddino|0030|013D|00 |50 |810BEF9C|+11605.97|   +66.00|  +563.57
 22|81183120|HagabonMK2 |001C|07C8|00 |50 |810BEFC0|+11560.83|  +147.40|  +308.56
 23|812FCC60|SmallBasket|0030|03CF|00 |50 |810BEFF8|+11364.57|   +66.00|  +809.39
 24|812FD0C0|WM_WallTorc|0030|0178|00 |50 |810BF01C|+11684.42|  +121.83|  +942.18
 25|8118CFE0|Duster     |0006|005A|00 |50 |810BF040|+12535.96|    -2.00|  +434.84
 26|812FDAA0|TAreaFXEmit|0067|035E|00 |50 |810BF070|+11783.42|   +66.75|  +352.67
 27|812F6660|WM_padlock |0054|0760|00 |50 |810BED4C|+12615.92|  +231.92|  +538.77
 28|812FE000|CmbSrcTWall|007E|0853|00 |50 |810BF0E8|+11745.20|  +112.42|  +501.54
 29|812FE6A0|CmbSrcTWall|007E|0853|00 |50 |810BF118|+11645.40|  +112.42|  +501.72
 30|812FED40|CmbSrcTWall|007E|0853|00 |50 |810BF148|+11641.88|  +107.95|  +728.44
 31|812FF3E0|CmbSrcTWall|007E|0853|00 |50 |810BF178|+11749.29|  +108.20|  +729.78
 32|811920A0|BarrelGener|0030|05E0|00 |50 |810BC908|+11077.60|   -99.00| +1077.37
 33|811967E0|GunPowderBa|0030|006D|00 |50 |810BC92C|+11077.74|   -99.00| +1077.39
 34|812F6000|LargeCrate |0030|049F|00 |50 |810BED28|+12084.14|  +211.02|  +332.46
 35|812F5C40|LargeCrate |0030|049F|00 |50 |810BED04|+12093.50|  +211.00|  +304.48
 36|812FFFE0|LargeCrate |0030|049F|00 |50 |810BCD5C|+11467.78|   +66.00|  +463.79
 37|812F5880|LargeCrate |0030|049F|00 |50 |810BECE0|+12086.32|  +211.00|  +276.40
 38|812F54C0|LargeCrate |0030|049F|00 |50 |810BECBC|+12082.32|  +211.00|  +246.42
 39|80FB5660|WM_deaddino|0030|013D|00 |50 |810BEC98|+12505.92|  +211.00|  +420.55
 40|81196C20|BarrelGener|0030|05E0|00 |50 |810BD170|+12373.68|  +211.00|  +176.53
 41|81197120|GunPowderBa|0030|006D|00 |50 |810BD194|+12074.37|    +6.00| +1216.54
 42|81197560|BarrelGener|0030|05E0|00 |50 |810BD1B8|+12299.67|    +6.00| +1172.53
 43|8119A320|ExplodeWall|0063|0436|00 |50 |810BD1DC|+11695.52|   +67.00|  +778.73
 44|8119B500|GunPowderBa|0030|006D|00 |50 |810BD2AC|+12624.69|  +211.00|  +613.38
 45|8119B940|HagabonMK2 |001C|07C8|00 |50 |810BD938|+12322.34|   +77.86|  +904.70
 46|813017A0|WM_WallTorc|0030|0178|00 |50 |810BD970|+12101.05|   +63.56|  +782.81
 47|812F4AC0|LargeCrate |0030|049F|00 |50 |810BEC50|+12681.69|  +211.00|  +113.02
 48|80FE1DE0|SB_Cloudrun|0030|008C|40 |5A |810BEC2C|+12364.84|   +41.00|   +41.35
 49|809F3F80|Krystal    |0001|001F|00 |3C |00000000|+12379.54|  +211.06|   +89.16
 50|81304280|fox_shield |0030|0773|60 |50 |813041A0|+12379.54|  +211.06|   +89.16
