204 2171282080
objPtr = 816B22A0 nObjs = 204
Obj|Address |Name       |ID  |Def |Flg|Slt|Sequence|XPos     |YPos     |ZPos      
  0|812F4100|LGTProjecte|007B|061D|00 |50 |810BF2EC|+11167.06|   +90.78| +2017.22
  1|81316F40|Override   |0010|0006|20 |64 |81316F00|+13201.84| +1261.75| +2239.96
  2|81316820|Override   |0010|0006|20 |64 |813167E0|+10870.76|   +46.63| +1585.24
  3|81316120|Override   |0010|0006|20 |64 |81316040|+11202.46|  +128.00| +1261.45
  4|813128E0|TrigCyl    |0016|0230|00 |28 |810BE3E4|+11165.87|   +27.20| +1816.43
  5|81312720|TrigPnt    |0014|004B|00 |28 |810BDBBC|+11862.88|  -183.00| +4625.09
  6|81312240|LGTProjecte|007B|061D|00 |50 |810BD824|+10687.98|  -101.22| +1495.07
  7|81312100|texscroll2 |0021|0014|00 |50 |810BD800|+10694.16|   -26.79| +1496.33
  8|81311820|HitAnimator|004B|024F|00 |50 |810BD268|+11330.82|   -57.43| +1125.18
  9|812F47A0|WM_seqpoint|0030|025F|00 |50 |810BF42C|+10966.40|   +12.72| +2236.91
 10|812F48C0|WM_seqpoint|0030|025F|00 |50 |810BF450|+10966.40|   +12.72| +2236.91
 11|81311680|DepthOfFiel|0030|065A|00 |50 |810BD14C|+12264.56|  +211.00|  +451.46
 12|813114A0|WM_LevelCon|0039|017E|00 |50 |810BD110|+12251.81|  +280.18|  +215.22
 13|81311240|TrigPln    |0015|004C|00 |28 |810BD070|+11151.38|   -89.28| +1406.27
 14|81311100|Transporter|0025|00EC|00 |50 |810BCD80|+10688.02|   -84.00| +1495.12
 15|81310FE0|WM_seqpoint|0030|025F|00 |50 |810BCD38|+11076.31|   -99.00|  +728.00
 16|8130FEC0|sfxPlayer  |005C|0285|00 |50 |810C1F74|+12160.91| +1379.00| +2240.80
 17|812F5CC0|WM_seqpoint|0030|025F|00 |50 |810BF548|+11108.56|   -99.00| +1566.41
 18|8130DE20|texscroll2 |0021|0014|00 |50 |810C1DC8|+11739.81| +1333.61| +2211.04
 19|8130DCE0|texscroll2 |0021|0014|00 |50 |810C1DA4|+12494.19| +1275.29| +2271.15
 20|812F6520|TrigPln    |0015|004C|00 |28 |810BF5B4|+10862.24|   -93.77| +1499.00
 21|8130D640|DustMoteSou|007E|0802|00 |50 |810C1D34|+12159.24| +1474.40| +2237.87
 22|8130D220|LGTProjecte|007B|061D|00 |50 |810C1CB4|+13201.55| +1259.92| +2238.98
 23|8130D0E0|texscroll2 |0021|0014|00 |50 |810C1C90|+13199.96| +1297.97| +2238.61
 24|8130CFA0|Transporter|0025|00EC|00 |50 |810C1C6C|+13201.71| +1278.00| +2239.03
 25|81306D00|HitAnimator|004B|024F|00 |50 |810C0804|+11919.78|  +322.77| +2780.28
 26|81306BE0|baddieInter|0030|0787|00 |50 |810C0748|+12715.04|  +719.00| +2274.37
 27|812F9140|texscroll2 |0021|0014|00 |50 |810BF708|+11262.11|   +73.66| +1591.06
 28|812F9280|texscroll2 |0021|0014|00 |50 |810BF72C|+11084.30|   +63.16|  +875.72
 29|812F93C0|LGTProjecte|007B|061D|00 |50 |810BF750|+11078.72|   +60.17|  +932.99
 30|812F97E0|LGTProjecte|007B|061D|00 |50 |810BF790|+11298.24|   +95.92| +1592.61
