45 2171282080
objPtr = 816B22A0 nObjs = 45
Obj|Address |Name       |ID  |Def |Flg|Slt|Sequence|XPos     |YPos     |ZPos      
  0|812F41C0|WarpPoint  |0025|0058|00 |50 |81161D98|-18780.69|   +31.71|+28498.75
  1|812F4440|DepthOfFiel|0030|065A|00 |50 |81161DBC|-18819.50|    +8.11|+28343.02
  2|812FBA20|Override   |0010|0006|20 |64 |812FB9E0|-18740.88|    +2.00|+28415.04
  3|812FB5E0|Override   |0010|0006|20 |64 |812FB500|-19018.27|    +2.00|+28495.95
  4|812FB3A0|FrontSeq   |0055|0840|00 |50 |81162550|-18878.50|   +13.00|+28456.21
  5|812FA400|DustMoteSou|007E|0802|00 |50 |81162478|-18851.76|  +125.39|+28613.27
  6|812FA2E0|DustMoteSou|007E|0802|00 |50 |81162448|-18907.25|  +125.39|+28612.79
  7|812FA1C0|DustMoteSou|007E|0802|00 |50 |81162418|-18879.52|  +112.54|+28349.86
  8|812F9FE0|texscroll2 |0021|0014|00 |50 |811623F4|-18896.26|   +56.78|+28338.60
  9|812F9E20|TailLightSo|007E|0807|00 |50 |811623C4|-18986.04|   +20.84|+28594.79
 10|812F9D00|TailLightSo|007E|0807|00 |50 |81162394|-18764.77|   +22.15|+28589.08
 11|812F9BE0|TailLightSo|007E|0807|00 |50 |81162364|-18908.34|   +47.02|+28257.79
 12|812F9AC0|TailLightSo|007E|0807|00 |50 |81162334|-18859.46|   +67.59|+28252.86
 13|81194AE0|LGTPointLig|0079|061B|00 |50 |81162054|-18991.65|   +32.38|+28525.69
 14|81194F40|LGTPointLig|0079|061B|00 |50 |81162094|-19008.37|   +58.82|+28332.58
 15|811953A0|LGTPointLig|0079|061B|00 |50 |811620D4|-18929.19|   +60.38|+28252.45
 16|81195800|LGTPointLig|0079|061B|00 |50 |81162114|-18829.80|   +60.38|+28251.95
 17|81195C60|LGTPointLig|0079|061B|00 |50 |81162154|-18763.33|   +60.91|+28300.72
 18|811960C0|LGTPointLig|0079|061B|00 |50 |81162194|-18750.49|   +59.47|+28332.00
 19|81196520|FrontPilots|0030|0781|00 |50 |811621D4|-18945.22|    +2.00|+28573.85
 20|81196DE0|FrontPilots|0030|0781|00 |50 |811621F8|-18870.29|    +9.00|+28362.55
 21|80F9EDE0|FrontFox   |0030|077D|00 |50 |8116221C|-18870.40|    +9.75|+28360.43
 22|80F7F820|FrontSlippy|0030|077F|00 |50 |81162240|-18987.62|    +2.00|+28500.83
 23|80F60FE0|FrontPeppy |0030|077E|00 |50 |81162264|-18817.47|    +2.95|+28578.13
 24|811B5000|FrontRob   |0030|0780|00 |50 |81162288|-18957.19|   +27.00|+28292.95
 25|811B68E0|LGTPointLig|0079|061B|00 |50 |811622AC|-18930.59|   +56.89|+28305.91
 26|811B8380|FrontPilots|0030|078A|00 |50 |811622EC|-18810.09|    +2.00|+28582.70
 27|811B8C20|FrontPlanet|0030|07A7|00 |50 |81162310|-17975.22|  +260.99|+28624.62
 28|81194680|LGTPointLig|0079|061B|00 |50 |81162014|-18960.02|   +93.94|+28599.42
 29|81194220|LGTPointLig|0079|061B|00 |50 |81161FD4|-18879.42|  +140.46|+28350.46
 30|81193DC0|LGTPointLig|0079|061B|00 |50 |81161F94|-18855.88|  +138.77|+28618.08
 31|81192900|LGTPointLig|0079|061B|00 |50 |81161F54|-18902.53|  +139.35|+28617.94
 32|812F5F00|GF_JukeBox |0061|075F|00 |50 |81161F34|-19002.52|    +2.00|+28525.45
 33|812F5AC0|CmbSrc     |007E|06E8|00 |50 |81161F04|-18764.17|    -2.63|+28436.90
 34|81191180|LGTPointLig|0079|061B|00 |50 |81161EC4|-18853.38|   +32.45|+28385.67
 35|81190D20|LGTPointLig|0079|061B|00 |50 |81161E84|-18880.13|   +30.97|+28373.20
 36|812FA5E0|GF_DoorLeft|0053|0770|00 |50 |811624A8|-18740.88|    +2.00|+28415.04
 37|812FA8C0|GF_DoorLeft|0053|0770|00 |50 |811624CC|-19018.27|    +2.00|+28495.95
 38|812FABA0|CmbSrc     |007E|06E8|00 |50 |811624F0|-18791.03|   +92.98|+28494.26
 39|812FAF40|CmbSrc     |007E|06E8|00 |50 |81162520|-18968.25|   +92.75|+28411.55
 40|811908C0|LGTPointLig|0079|061B|00 |50 |81161E44|-18824.18|   +25.83|+28561.06
 41|811332A0|LGTPointLig|0079|061B|00 |50 |81161E04|-18965.53|   +28.49|+28523.65
 42|811BE900|GF_DoorRigh|0010|0771|20 |64 |812FB8A0|-19018.27|    +2.00|+28414.25
 43|8118F380|FrontPilots|0030|0781|00 |50 |81161DE0|-18880.13|    +2.00|+28618.20
 44|811BED20|GF_DoorRigh|0010|0771|20 |64 |812FBCE0|-18740.88|    +2.00|+28496.74
