file;idx;obj;real;name;size;03;04;05;06;mp;x;y;z;id;data
animtest;0;000D;0493;setuppoint ;08;FF;08;04;00;00;+3332.58;-329.00;+3390.40;00000000;000000FF 00000000
arwing;0;000D;0493;setuppoint ;08;00;08;04;00;00;+368.01;+200.00;+1504.83;000430BA;00000040 00000000 06010900 0101FFFF 43A00000 430C0000 44BB8000
arwing;1;0601;0523;ARWArwing  ;09;00;01;01;FF;FF;+320.00;+140.00;+1500.00;0004A7DA;00000000 0000FFFF FFFF0000 06060900 0101FFFF 4419F020 C341005A C43B3100
arwing;2;0606;0528;ARWArwingBo;09;00;01;01;FF;FF;+615.75;-193.00;-748.77;0004312B;00000000 0000FFFF FFFF0000 060D0600 0104FFFF 43A00000 430C0000 447A0000
arwing;3;060D;0536;ARWLevelCon;06;00;01;04;FF;FF;+320.00;+140.00;+1000.00;00048F7E;06100800 0101FFFF 443D4100 C34328DF C42EA240
arwing;4;0610;0538;ARWArwingGu;08;00;01;01;FF;FF;+757.02;-195.16;-698.54;00043172;000000FF 3F800000 06110800 0101FFFF 443BB8C0 C3300ED4 C44C1AC0
arwing;5;0611;053A;ARWArwingRo;08;00;01;01;FF;FF;+750.89;-176.06;-816.42;00043173;000000FF 3F800000 06150800 0101FFFF 4432C540 C3534CD2 C42BEF00
arwing;6;0615;0539;ARWArwingGu;08;00;01;01;FF;FF;+715.08;-211.30;-687.73;00043175;000000FF 3F800000 076A0800 0101FFFF 439AD300 43030000 44E16F70
arwing;7;076A;0230;Andross    ;08;00;01;01;FF;FF;+309.65;+131.00;+1803.48;00047B77;000000FF 3F800000 07720800 0101FFFF 439AD300 43030000 44E16F70
arwing;8;0772;0233;AndrossBrai;08;00;01;01;FF;FF;+309.65;+131.00;+1803.48;00047DD9;000000FF 3F800000 076B0800 0101FFFF C3181280 C210CCCD 44D545E8
arwing;9;076B;0231;Androssleft;08;00;01;01;FF;FF;-152.07; -36.20;+1706.18;00047B78;00000000 3F800000 076C0800 0101FFFF 4456BDC0 C2400000 44DBEB88
arwing;10;076C;0232;Androssrigh;08;00;01;01;FF;FF;+858.96; -48.00;+1759.36;00047B6A;00000001 3F800000 043F0900 010110FF 43F52BE0 439C8000 44EDB128
arwing;11;043F;0450;DR_Creator ;09;00;01;01;10;FF;+490.34;+313.00;+1901.54;0004AA57;000D0004 008CC03C 28000000 043F0900 010110FF 430057C0 439C8000 44EDB128
arwing;12;043F;0450;DR_Creator ;09;00;01;01;10;FF;+128.34;+313.00;+1901.54;0004AA66;000D0004 008C403C 28000000 043F0900 010110FF 43F52BE0 C24C0000 44EDB128
arwing;13;043F;0450;DR_Creator ;09;00;01;01;10;FF;+490.34; -51.00;+1901.54;0004AA96;000D0004 008CC03C 28000000 043F0900 010110FF 430057C0 C24C0000 44EDB128
arwing;14;043F;0450;DR_Creator ;09;00;01;01;10;FF;+128.34; -51.00;+1901.54;0004AA97;000D0004 008C403C 28000000 06CF0900 01012010 C29A2400 4346AA9A 450C7BE0
arwing;15;06CF;0310;CNThitObjec;09;00;01;01;20;10; -77.07;+198.67;+2247.74;00049F4D;00000000 0000FFFF FFFF0000 07FD0A00 01011FFF 439AD300 43030000 44E16F70
arwing;16;07FD;022D;ANDSeqObjec;0A;00;01;01;1F;FF;+309.65;+131.00;+1803.48;0004A6AF;00020001 00080000 00000001 00000000 07FD0A00 01011FFF 439AD300 43030000 44E16F70
arwing;17;07FD;022D;ANDSeqObjec;0A;00;01;01;1F;FF;+309.65;+131.00;+1803.48;0004A6B0;00030001 00080100 00000001 00000000 07FD0A00 01011FFF 439AD300 43030000 44E16F70
arwing;18;07FD;022D;ANDSeqObjec;0A;00;01;01;1F;FF;+309.65;+131.00;+1803.48;0004A6B1;00040001 00080200 00000001 00000000 07FD0A00 01011FFF 439AD300 43030000 44E16F70
arwing;19;07FD;022D;ANDSeqObjec;0A;00;01;01;1F;FF;+309.65;+131.00;+1803.48;0004ABA4;FFFF000E 00010300 00000000 00000000 07FD0A00 01011FFF 439AD300 43030000 44E16F70
arwing;20;07FD;022D;ANDSeqObjec;0A;00;01;01;1F;FF;+309.65;+131.00;+1803.48;0004AC1E;FFFF000F 00010A00 00000001 00000000 07FD0A00 01011FFF 439AD300 43030000 44E16F70
arwing;21;07FD;022D;ANDSeqObjec;0A;00;01;01;1F;FF;+309.65;+131.00;+1803.48;0004CA48;FFFF0E74 00010B00 00000001 00000000 00580900 01041FFF 43EEC320 C46F17E0 43ECE2C0
arwing;22;0058;04B2;WarpPoint  ;09;00;01;04;1F;FF;+477.52;-956.37;+473.77;0004A6C2;0032FF00 00001E00 FFFF0000 01DF0A00 01041FFF 41A00000 00000000 42C80000
arwing;23;01DF;0406;SpiritPrize;0A;00;01;04;1F;FF; +20.00;  +0.00;+100.00;0004CA62;00000000 00000000 00000000 00000000 07E80A00 01041F00 42C73180 40DD5530 42CA3000
arwing;24;07E8;023E;AnimConcuss;0A;00;01;04;1F;00; +99.60;  +6.92;+101.09;0004CDD5;FFFFFFFF 00000000 00000000 00000000
arwingcity;0;061B;0551;LGTPointLig;10;00;01;04;1F;10;+250.47;+173.54;+975.12;00044C4B;0000FFFF FF000000 00000028 003200FF FFFF0000 00000001 01000000 00000032 0000FFFF FF800000 065A0900 01041F10 44139260 C4510ADA C5373C80
arwingcity;1;065A;04C9;DepthOfFiel;09;00;01;04;1F;10;+590.29;-836.17;-2931.78;00049DFB;00000000 0000FFFF FFFF0000 000D0800 08040000 43B801C0 43480000 44BC1A80
arwingcity;2;000D;0493;setuppoint ;08;00;08;04;00;00;+368.01;+200.00;+1504.83;000430BA;00000040 00000000 00580900 04048D78 438A1BC0 43870142 449E5CC0
arwingcity;3;0058;04B2;WarpPoint  ;09;00;04;04;8D;78;+276.22;+270.01;+1266.90;00044B18;0076FF00 00001E00 FFFF0000 06010900 0104FFFF 43A00000 430C0000 44BB8000
arwingcity;4;0601;0523;ARWArwing  ;09;00;01;04;FF;FF;+320.00;+140.00;+1500.00;00043107;00000000 0000FFFF FFFF0000 06060900 0104FFFF 4419F020 C341005A C43B3100
arwingcity;5;0606;0528;ARWArwingBo;09;00;01;04;FF;FF;+615.75;-193.00;-748.77;0004312B;00000000 0000FFFF FFFF0000 060D0600 0104FFFF 43A00000 430C0000 447A0000
arwingcity;6;060D;0536;ARWLevelCon;06;00;01;04;FF;FF;+320.00;+140.00;+1000.00;0004315F;06100800 0104FFFF 443D4100 C34328DF C42EA240
