Bit#|T|??|?|MaxValue|Name|Note
----|-|--|-|--------|----|----
0000|0|00|0|00000001|HaveCallTricky|why in temporary table?
0001|0|00|0|00000001|HaveTrickyFind|
0002|0|00|0|00000001||
0003|0|00|0|00000001|HaveTrickyStay|
0004|0|00|0|00000001|HaveTrickyFlame|
0005|1|00|0|00000001|HaveTrickysBall|separate from BoughtTrickysBall
0006|2|00|0|00000001||
0007|2|00|0|00000001||
0008|1|00|0|00000001||
0009|2|00|0|00000001||
000A|2|00|0|00000001||
000B|2|00|0|00000001||
000C|1|00|0|00000001||
000D|0|00|0|00000001||
000E|0|00|0|00000001||
000F|0|00|0|00000001||
0010|0|00|0|00000001||
0011|2|00|0|00000001||
0012|0|00|0|00000001||
0013|1|00|0|00000001||
0014|1|00|0|00000001||
0015|0|00|0|00000001||
0016|1|00|0|00000001||
0017|1|00|0|00000001||
0018|0|00|0|00000001|ClimbOnSnowHorn|climbing onto SnowHorn (will warp you to nearby one)
0019|0|00|0|00000001|ClimbOffSnowHorn|
001A|2|00|0|00000001||
001B|2|00|0|00000001||
001C|2|00|0|00000001||
001D|1|00|0|00000003||
001E|1|00|0|00000001||
001F|1|00|0|00000001||
0020|2|00|0|00000001||
0021|2|00|0|00000001||
0022|2|0C|1|00000001||
0023|2|00|0|00000001||
0024|2|00|0|00000001||
0025|2|00|0|00000001|BoughtTrickysBall|separate from HaveTrickysBall
0026|2|00|0|00000001||
0027|2|28|1|00000001||
0028|2|00|0|00000001||
0029|0|00|0|00000001||
002A|2|27|1|00000001||
002B|2|00|0|00000001||
002C|2|00|0|00000001||
002D|2|0B|1|00000001|HaveFireballSpell|
002E|2|00|0|00000001||
002F|2|00|0|00000001||
0030|2|00|0|00000001||
0031|0|00|0|00000001||
0032|2|00|0|00000001||
0033|2|00|0|00000001||
0034|2|00|0|00000001||
0035|2|00|0|00000001||
0036|0|00|0|00000001||
0037|0|00|0|00000001||
0038|2|00|0|00000001||
0039|2|00|0|00000001||
003A|2|00|0|00000001||
003B|2|00|0|00000001||
003C|0|00|0|00000001||
003D|0|00|0|00000001||
003E|1|00|0|00000001||
003F|0|00|0|00000001||
0040|2|00|0|00000001|HaveSharpClawDisguise|
0041|1|52|1|00000001||
0042|0|00|0|00000001||
0043|2|55|1|00000001||
0044|1|00|0|00000001||
0045|1|00|0|00000001||
0046|1|00|0|00000001||
0047|1|00|0|00000001||
0048|2|00|0|00000001||
0049|0|00|0|00000001||
004A|1|00|0|00000001||
004B|2|00|0|0000000F||
004C|2|00|0|00000001||
004D|2|00|0|00000001||
004E|2|00|0|00000001||
004F|2|00|0|00000001||
0050|2|00|0|00000001||
0051|2|00|0|00000001||
0052|2|00|0|00000001||
0053|2|00|0|00000001||
0054|2|00|0|00000001||
0055|2|00|0|00000001||
0056|2|00|0|00000001||
0057|2|54|1|00000001||
0058|1|00|0|00000001||
0059|1|00|0|00000001||
005A|1|00|0|00000001||
005B|2|00|0|00000001||
005C|2|00|0|00000001||
005D|2|00|0|00000001||
005E|0|00|0|00FFFFFF||
005F|2|00|0|00000001||
0060|2|00|0|00000001||
0061|0|00|0|00000001||
0062|1|00|0|00000001||
0063|1|00|0|00000001||
0064|1|00|0|00000001||
0065|1|00|0|00000001||
0066|0|00|0|00000001||
0067|1|00|0|00000001||
0068|1|00|0|00000001||
0069|1|00|0|00000001||
006A|1|00|0|00000001||
006B|1|00|0|00000001||
006C|1|00|0|00000001||
006D|2|00|0|00000001||
006E|2|00|0|00000001||
006F|2|00|0|00000001||
0070|2|11|1|00000001||
0071|2|00|0|00000001||
0072|2|00|0|00000001||
0073|1|00|0|00000001||
0074|1|00|0|00000001||
0075|1|00|0|00000001|HaveStaff|
0076|1|00|0|00000001||
0077|1|00|0|00000001||
0078|2|00|0|00000001||
0079|1|00|0|00000001||
007A|2|00|0|00000001||
007B|2|00|0|00000001||
007C|2|00|0|00000001||
007D|0|00|0|00000001||
007E|0|00|0|00000001||
007F|0|00|0|00000001||
0080|0|00|0|00000001||
0081|2|00|0|00000001||
0082|2|00|0|00000001||
0083|2|00|0|00000001||
0084|2|00|0|00000001||
0085|2|00|0|00000001||
0086|2|00|0|00000001||
0087|2|00|0|00000001||
0088|2|00|0|00000001||
0089|2|00|0|00000001||
008A|2|00|0|00000001||
008B|2|00|0|00000001||
008C|0|00|0|000000FF||
008D|2|00|0|00000001||
008E|2|00|0|00000001||
008F|2|00|0|00000001||
0090|2|00|0|00000001||
0091|2|00|0|00000001||
0092|1|00|0|00000001||
0093|1|00|0|00000001||
0094|2|00|0|00000001||
0095|0|00|0|00000001|Always1|used for always-available shop items
0096|0|00|0|00000001|Always0|used for never-available (unused) shop items
0097|2|00|0|00000001||
0098|2|00|0|00000001||
0099|1|00|0|00000001||
009A|0|00|0|00000001||
009B|0|00|0|00000001||
009C|0|00|0|00000001||
009D|0|00|0|00000001||
009E|2|00|0|00000001||
009F|0|00|0|00000001||
00A0|1|00|0|00000001||
00A1|2|00|0|00000001||
00A2|1|00|0|00000001||
00A3|1|00|0|00000001||
00A4|1|00|0|00000001||
00A5|0|00|0|00000001||
00A6|2|00|0|00000001||
00A7|0|00|0|00000001||
00A8|2|00|0|00000001||
00A9|2|00|0|00000003||
00AA|2|00|0|00000001||
00AB|0|00|0|00000001||
00AC|2|00|0|00000001||
00AD|2|00|0|00000001||
00AE|1|00|0|00000001||
00AF|1|00|0|00000001||
00B0|1|00|0|00000001||
00B1|0|00|0|00000001||
00B2|0|00|0|00000001||
00B3|0|00|0|00000001||
00B4|2|00|0|00000001||
00B5|0|00|0|00000001||
00B6|0|00|0|00000001||
00B7|0|00|0|00000001||
00B8|0|00|0|00000001||
