Bit#|Name                    |??|?|MaxValue|NewGame |Chapter2|Chapter3|Chapter4|Chapter5|EndGame |Note
----|------------------------|--|-|--------|--------|--------|--------|--------|--------|--------|----
0145|MapFlagsMagicCave       |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
0169|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
019E|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
01D0|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
01D6|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
01ED|                        |00|0|       1|       0|       0|       0|       0|       0|       1|
02BA|Envfx02BA               |00|0|      FF|       0|       C|       3|       F|       0|       5|related to player envfx
036A|MapFlagsWallCity        |00|0|FFFFFFFF|       0|       0|       0|     C23|     C23|     C23|
0372|                        |00|0|       1|       0|       1|       1|       1|       1|       1|
0373|MapFlagsSnowMines2      |00|0|FFFFFFFF|       0|   40002|   40002|   40002|   40002|   40002|
0390|                        |00|0|       1|       0|       1|       1|       1|       1|       1|
0393|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0394|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0397|MapFlagsDiamondBay      |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
03A0|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
03A1|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
03A8|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
03A9|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
03AB|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
03AC|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
03AD|MapFlagsIceMountain     |00|0|FFFFFFFF|       0|   80803|   80803|   80803|   80803|   80C01|
03AF|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
03B0|Envfx03B0               |00|0|       1|       0|       0|       1|       0|       0|       1|related to envfx
03B7|MapFlagsCapeClaw        |00|0|FFFFFFFF|80000001|80000001|       1|60000001|60000001|60000001|
03E0|MapFlagsFrontEnd        |00|0|FFFFFFFF|       2|       6|       6|       6|       6|       6|also galleonship
0405|MapFlagsWarlock         |00|0|FFFFFFFF|      23|     C18|     C00|      10|      10|E0000C10|
0421|MapFlagsInsideGal       |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
042E|MapFlagsMoonPass        |00|0|FFFFFFFF|       0|       0|     800|     800|     800|     800|
0443|MapFlagsSnowMines3      |00|0|FFFFFFFF|       0|       6|       6|       6|       6|       6|
0452|MapFlagsHollow          |00|0|FFFFFFFF|     42D| 800046D| 800042D| 800042D| 800042D| 800042D|also LinkG
0458|MapFlagsFortress        |00|0|FFFFFFFF|       0|       0|   10001|   10001|   10001|   10001|
045A|MapFlagsCloudTreasure   |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
046E|                        |00|0|    FFFF|       0|       0|       0|       0|       0|       0|
0473|MapFlagsDbShrine        |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
047B|MapFlagsMazeCave        |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
047C|MapFlagsCloudDungeon    |00|0|FFFFFFFF|       0|       0|       9|       9|       9|       9|
0480|MapFlagsDiscovery       |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
0493|MapFlagsSnowMines       |00|0|FFFFFFFF|  400001|  101240|  101240|  101240|  101240|  101000|
04A3|MapFlagsCloudRace       |00|0|FFFFFFFF|       0|       0|       2|       2|       2|       2|
04A6|MapFlagsSwapCircle      |00|0|FFFFFFFF|       0|       1|       1|       1|       1|       1|
04AE|MapFlagsWastes          |00|0|FFFFFFFF|       0|80000480|80000480|80000480|80000480|80000480|also LinkB
04E2|                        |00|0|    FFFF|       0|       0|       0|       0|       0|       0|
04F0|                        |00|0|       1|       0|       0|       1|       1|       1|       1|
04F3|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
0500|MapFlagsTemple          |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
0517|MapFlagsAnimTest        |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
051E|                        |00|0|       1|       0|       0|       1|       1|       1|       1|
0548|MapFlagsTrexBoss        |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
05D1|MapFlagsKrazTest        |00|0|FFFFFFFF|       0|       0|       0|       4|       4|       4|also dfptop
05DB|MapFlagsDragRock        |00|0|FFFFFFFF|       0|       0|       0|       0|   18000|   18000|
05DC|MapFlagsDragBot         |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
05E6|                        |00|0|      FF|       0|       0|       0|       0|       0|       0|
0601|MapFlagsSwapStore       |00|0|FFFFFFFF|       0|      61|      61|      61|      61|      61|
0614|                        |00|0|      FF|       0|       0|       0|       0|       0|       0|
0633|                        |00|0|      FF|       0|       0|       0|       0|       0|       0|
07CE|MapFlagsHighTop         |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
08ED|MapFlagsOldKrazoaPalace |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
0966|CantUseDinosaurHorn     |00|0|       1|       0|       0|       0|       0|       0|       0|
0968|CantFeedTricky          |00|0|       1|       0|       0|       0|       0|       0|       0|
0983|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0984|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0985|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
09F0|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
0A62|MapFlagsFinalBoss       |00|0|FFFFFFFF|       0|       0|       0|       0|       8|       8|
0A7F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|related to music?
0B24|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0B36|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0B45|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0B72|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0B73|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0BD8|                        |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
0BFE|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0C13|                        |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
0C1E|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0C1F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0C20|                        |00|0|       1|       0|       1|       1|       1|       1|       0|
0C21|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0C47|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0C57|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0C74|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0C84|MapFlagsDfShrine        |00|0|FFFFFFFF|       0|       0|       2|       2|       2|       2|
0CBB|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0CCD|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0CCE|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0CCF|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0CD0|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0CD1|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0D00|NoBallsAllowed          |00|0|       1|       0|       0|       0|       0|       0|       0|Disables/despawns Tricky's ball
0D35|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0D36|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0D38|MapFlagsLinkF           |00|0|FFFFFFFF|       0|       0|80000000|80000000|80000000|80000000|
0D44|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0D5F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0D60|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0D6B|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0D71|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0D75|MapFlagsLinkH           |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
0D8F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0DAB|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0DB8|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0DBA|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0DC3|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0DCE|                        |00|0|       1|       0|       0|       1|       0|       1|       0|
0DCF|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0DD1|MapFlagsLinkD           |00|0|FFFFFFFF|       0|       2|       2|       2|       2|       2|
0E1D|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0E1E|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0E23|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0E24|                        |00|0|       1|       0|       0|       1|       1|       1|       1|
0E26|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0E2C|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0E7F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0E8B|                        |00|0|       F|       0|       0|       0|       0|       0|       0|
0E90|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0EDB|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0F04|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0F0B|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0F0E|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
